title,img,des,teepublic_link,thredless_link,forthwall_link,tag
OSA_S01_EP01,https://res.cloudinary.com/dhcqsvqwi/image/upload/v1773864974/OSA1BG_z3eqso.png,"Original Stupid Art This is really i dont know what i made, maybe thing is that i know what i make but i dont like to describe cause i thing it takes its meaning away",https://www.teepublic.com/t-shirt/89089642-osa-1,,https://tkid-shop.fourthwall.com/products/osa-1,"cat,cute"
OSA_S01_EP02,https://res.cloudinary.com/dhcqsvqwi/image/upload/v1773864931/OSA2_rrj24i.png,"Original Stupid Art This is really i dont know what i made, maybe thing is that i know what i make but i dont like to describe cause i thing it takes its meaning away",https://www.teepublic.com/t-shirt/89089641-osa-2,,https://tkid-shop.fourthwall.com/products/osa-2,cat
OSA_S01_EP03,https://res.cloudinary.com/dhcqsvqwi/image/upload/v1773864986/OSA3_bauouu.png,"Original Stupid Art This is really i dont know what i made, maybe thing is that i know what i make but i dont like to describe cause i thing it takes its meaning away",https://www.teepublic.com/t-shirt/89089643-osa-3?store_id=2925911,,https://tkid-shop.fourthwall.com/products/osa-3,fog
OSA_S01_EP04,https://res.cloudinary.com/dhcqsvqwi/image/upload/v1773864929/OSA4_z1f35d.png,"Original Stupid Art This is really i dont know what i made, maybe thing is that i know what i make but i dont like to describe cause i thing it takes its meaning away",https://www.teepublic.com/t-shirt/89089640-osa-4?store_id=2925911,,https://tkid-shop.fourthwall.com/products/osa-4,dog
OSA_S01_EP05,https://res.cloudinary.com/dhcqsvqwi/image/upload/v1773864973/OSA5_f2p747.png,"Original Stupid Art This is really i dont know what i made, maybe thing is that i know what i make but i dont like to describe cause i thing it takes its meaning away",https://www.teepublic.com/t-shirt/89089639-osa-5?store_id=2925911,,https://tkid-shop.fourthwall.com/products/osa-5,dog
OSA_S01_EP06,https://res.cloudinary.com/dhcqsvqwi/image/upload/v1773864926/OSA6_e5wg2f.png,"Original Stupid Art This is really i dont know what i made, maybe thing is that i know what i make but i dont like to describe cause i thing it takes its meaning away",https://www.teepublic.com/t-shirt/89261489-osa-6?store_id=2925911,,https://tkid-shop.fourthwall.com/products/osa-6,hate
OSA_S01_EP07,https://res.cloudinary.com/dhcqsvqwi/image/upload/v1773864943/OSA7_a88a1z.png,"Original Stupid Art This is really i dont know what i made, maybe thing is that i know what i make but i dont like to describe cause i thing it takes its meaning away",https://www.teepublic.com/t-shirt/89261488-osa-7?store_id=2925911,,https://tkid-shop.fourthwall.com/products/osa-7,love
OSA_S01_EP08,https://res.cloudinary.com/dhcqsvqwi/image/upload/v1773865008/OSA8_ss4fp8.png,"Original Stupid Art This is really i dont know what i made, maybe thing is that i know what i make but i dont like to describe cause i thing it takes its meaning away",https://www.teepublic.com/t-shirt/89261486-osa-8?store_id=2925911,,https://tkid-shop.fourthwall.com/products/osa-8,scary
OSA_S01_EP09,https://res.cloudinary.com/dhcqsvqwi/image/upload/v1773865023/OSA9BG_wujcmo.png,"Original Stupid Art This is really i dont know what i made, maybe thing is that i know what i make but i dont like to describe cause i thing it takes its meaning away",https://www.teepublic.com/t-shirt/89261487-osa-9?store_id=2925911,,https://tkid-shop.fourthwall.com/products/osa-9,
OSA_S01_EP10,https://res.cloudinary.com/dhcqsvqwi/image/upload/v1773864941/OSA10_ttwwdk.png,"Original Stupid Art This is really i dont know what i made, maybe thing is that i know what i make but i dont like to describe cause i thing it takes its meaning away",https://www.teepublic.com/t-shirt/89261484-osa-10?store_id=2925911,,https://tkid-shop.fourthwall.com/products/osa-10,
OSA_S01_EP11,https://res.cloudinary.com/dhcqsvqwi/image/upload/v1773864985/OSA11_wz6swv.png,"Original Stupid Art This is really i dont know what i made, maybe thing is that i know what i make but i dont like to describe cause i thing it takes its meaning away",https://www.teepublic.com/t-shirt/89261485-osa-11?store_id=2925911,,https://tkid-shop.fourthwall.com/products/osa-11,
OSA_S01_EP12,https://res.cloudinary.com/dhcqsvqwi/image/upload/v1773864996/OSA12_hqe2cy.png,"Original Stupid Art This is really i dont know what i made, maybe thing is that i know what i make but i dont like to describe cause i thing it takes its meaning away",https://www.teepublic.com/t-shirt/89261483-osa-12?store_id=2925911,,https://tkid-shop.fourthwall.com/products/osa-12,